Ward Councillor Physical Meeting Status,,,,,,,,,,,,,,,,
Sr No.,POC,Assembly,Ward No.,,Ward Councillor Physical Meeting Status (2017),,,,,,Ward Councillor Physical Meeting Status (2022),,,,,
,,,,Area Covered,Total Pool(Winner),Winners Physical Meeting Status,Total Pool Runner Ups,Runner Ups Physical Meeting Status,Winner Onboarded,Runner Ups Onboarding Status,Total Pool(Winner),Winners Physical Meeting Status,Total Pool Runner Ups,Runner Ups Physical Meeting Status,Winner Onboarded,Runner Ups Onboarding Status
Total,,,,,54,23,161,124,4,13,54,35,105,34,11,19
1,"Mahtab,Gautam,Sapna",Digha - 181,1,Digha/Rajiv Nagar,1,1,3,2,0,1,1,1,2,2,0,1
2,,,2,Ashiyana Nagar/ khajpura,1,0,3,1,0,0,1,1,2,1,1,1
3,,,5,Samanpura/ A.G Colony/Ashiayan Nagar,1,1,3,2,0,0,1,1,2,1,1,0
4,,,6,Rajiv Nagar,1,1,3,3,1,0,1,1,2,0,1,0
5,,,7,Kesari Nagar/Rajvanshi Nagar/Patel Nagar,1,0,3,2,0,0,1,1,2,1,0,0
6,,,8,Shashtri Nagar/Punai Chak/Patel Nagar,1,0,3,3,0,0,1,0,2,0,0,0
7,,,20,Punai Chak/Rajvanshi Nagar,1,0,3,3,0,0,1,0,2,1,0,1
8,,,22A,Digha/Makhdumpur,1,0,3,3,0,0,1,0,2,0,0,0
9,,,22B,Kurji/Balupar,1,1,3,1,0,1,1,1,2,1,0,1
10,,,22C,Mainpura,1,0,3,3,0,0,1,0,2,1,0,0
11,"Abhishek , Reshu Rani",Digha - 181,3,Murlichak/Khalilpura/Sabjapur,1,1,3,2,0,0,1,1,2,2,0,1
12,,,4,Shekhpura/Raja bazaar/Khajpura,1,1,3,3,0,0,1,1,2,2,1,0
13,,,9,Beli Road/Harding Road/Khausal Nagar,1,0,3,1,0,1,1,1,2,1,1,1
14,,,10,Anisabad,1,1,3,1,0,1,1,1,2,2,0,2
15,,,11,Chitkhohra/Anishabad/Shivpuri,1,1,3,2,0,1,1,1,2,1,1,0
16,,,12,Chitkhohra/Anishabad/Shivpuri,1,0,3,2,0,1,1,0,2,0,0,0
17,,,13,Sarispabad/Gardanibag/Sadhnapuri,1,0,3,2,0,1,1,0,2,1,0,1
18,,,14,Sarispabad,1,1,3,3,0,0,1,1,2,0,0,0
19,,,16,Jakkanpur/Jhunjhun Mahal,1,1,3,3,0,0,1,1,2,1,0,1
20,,,21,A.N College/Adaalat Ganj,1,0,3,2,0,0,1,1,2,0,0,0
21,"Saurabh , Roshan ,Richa Thakur",Kumhrar - 183,31,"Chiraiya Tand, postel Park",1,0,3,1,0,1,1,1,2,1,1,1
22,,,32,Katra Bazaar/Rikab Ganj/Nawaab Ganj/Sarifa Ganj,1,0,3,3,0,0,1,0,2,0,0,0
23,,,33,"Kankarbag/Postal Park,RMS Colony",1,1,3,1,0,1,1,1,2,2,0,2
24,,,34,Kankarbag/Lohiya Nagar,1,1,3,3,1,0,1,1,2,1,1,0
25,,,43,KadamKua/Rajendra Nagar,1,0,3,3,0,0,1,0,2,0,0,0
26,,,44,Kankarbag/Hanuman Nagar/Lohiya Nagar/Bahadurpur,1,0,3,2,0,1,1,1,2,0,1,0
27,,,45,RMS Colony/Malahi Pakdi/Chitragupt Nagar,1,0,3,3,0,0,1,1,2,0,0,0
28,,,55,Bahadurpur Housing Colony/Kumhrar,1,0,3,3,0,0,1,1,2,0,0,0
29,,,46,Bahadurpur/Nand Lal Chhpra,1,0,3,3,0,0,1,0,2,1,0,1
30,,,47,Bahadurpur/Sandalpur,1,1,3,3,0,0,1,0,2,0,0,0
31,,,48,Musallahpur,1,0,3,3,0,0,1,0,2,0,0,0
32,,,49,Ranighat/Patna Law College,1,0,3,3,0,0,1,0,2,0,0,0
33,,,50,Ranighat/Mahendru/Muhammadpur/Sandalpur/Katra Dargah,1,0,3,3,0,0,1,0,2,1,0,0
34,,,51,Chaudhari Tola/Khajoor Banna/Tripoliya/Mahendru,1,0,3,2,0,0,1,0,2,0,0,0
35,"Shubham Kumar  , Mayank , Shabnam",Patna Sahib - 184,52,Tripollia/Pripoliya/Gai Ghat/Alamganj/Gulljarbag,1,0,3,3,0,0,1,1,2,0,0,0
36,,,53,Gai Ghat/Shershah Road/BabuGunj,1,1,3,1,0,1,1,1,2,0,0,0
37,,,54,Mirdaha Toli/Alabakspur/Shershah Road,1,1,3,1,0,0,1,1,2,1,0,1
38,,,56,Maharajganj/Chhota and Bada Pahari/Jakariyapur,1,1,3,2,0,0,1,1,2,0,0,0
39,,,57,Mina Bazar/Shadikpur/Tulsimandi/Guljarbag,1,0,3,2,0,0,1,1,2,1,0,0
40,,,58,Mathramma / Chailital / Mahavirghat / Guljarbag,1,0,3,2,0,0,1,1,2,0,0,0
41,,,59,Gujri / Khajekala / Gurhatha / Naujarkatra,1,1,3,3,0,0,1,1,2,1,0,1
42,,,60,Gujri / Khajekala / Mogalpur / Padri ki Haweli,1,1,3,2,0,0,1,1,2,1,0,0
43,,,61,Maheshpur / Mehdiganj / Ranipur / Kasba Karimabad,1,1,3,2,0,0,1,1,1,0,0,0
44,,,62,Mangal Talaw / Begampur,1,1,3,2,0,1,1,1,2,1,0,1
45,"Imteyaz , Vickey , Sadaf",Patna Sahib - 184,63,Mogalpur / Nun ka Chauraha / Chok Sikarpur / Dundi Bazar,1,0,3,3,0,0,1,1,2,1,0,1
46,,,64,Mangal Talaw / Nun ka Chauraha,1,1,3,3,1,0,1,1,2,1,1,0
47,,,65,Padri ki Haweli / Maharajghat / Tedhghat / Mangal Talaw / Sadar Gali,1,0,3,1,0,0,1,1,2,1,0,0
48,,,66,Bade ki Gali / Magal Talaw / Chok Sikarpur,1,0,2,2,0,0,1,0,1,0,0,0
49,,,67,Chhipi Tola / Nehru Tola / Kila Road / Kalmasikoh,1,1,3,2,1,0,1,1,1,1,0,0
50,,,68,Chainpura / Dhavalpura / Beldari Tola / Nakhas Mangal Akhada,1,0,3,3,0,0,1,0,2,0,0,0
51,,,69,Dalhatta / Mashurganj / Nkhas Mangal Akhada,1,0,3,3,0,0,1,0,2,1,0,1
52,,,70,Nand Gola / Pirdmariya / Nurudinganj / Dahuchak Nagala / Shimli,1,0,3,3,0,0,1,1,2,0,1,0
